,title,price,metros2,location,Rooms,region
0,Apartamento T3 para arrendamento com vista mar no Bairro do Rosário,2950,119,"Cascais e Estoril, Cascais",3, Lisboa
1,Apartamento T4 remodelado para arrendar no Pinheiro Manso,2500,159,Ramalde,4, Porto
2,Apartamento T4 com terraço para arrendamento nas Avenidas Novas,6000,170.5,Avenidas Novas,4, Lisboa
3,Apartamento T4 duplex para arrendamento com garagem em Cascais,5000,200,"Cascais e Estoril, Cascais",4, Lisboa
4,"Apartamento T2 para arrendar, sem móveis em Alcântara, Lisboa",2500,120,Alcântara,2, Lisboa
5,"Arrendamento - Príncipe Real, Lisboa - Apartamento T1 em ...",2500,62.6,Santo António,1, Lisboa
6,Apartamento T1 para arrendamento,800,52,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Oeiras",1, Lisboa
7,"T3 novo em condomínio fechado, piscina e box para 3 carro...",1750,125,"Leiria, Pousos, Barreira e Cortes",3, Leiria
8,Fantástico apartamento T2 com garagem para arrendamento nos Olivais,850,84,Santo António dos Olivais,2, Coimbra
9,Apartamento T2 sem móveis inserido em pequeno condomínio ...,2150,80,"Carcavelos e Parede, Cascais",2, Lisboa
10,Apartamento T0 junto ao Hospital São João,750,44,Paranhos,0, Porto
11,Apartamento T1 para arrendamento,400,30,Santo António dos Olivais,1, Coimbra
12,"Apartamento T2 sem móveis, na Quinta da Beloura, inserido...",2100,145,"Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim), Sintra",2, Lisboa
13,"Penthouse T4 novo ao 7º andar com três lugares de garagem, Antas",4000,184,Campanhã,4, Porto
14,"Apartamento T3 renovado com varanda, na Estrela, Lisboa",3000,121,Estrela,3, Lisboa
15,Apartamento T2 NOVO de LUXO no centro de Torres Vedras,1500,103,"Torres Vedras (São Pedro, Santiago, Santa Maria do Castelo e São Miguel) e Matacães, Torres Vedras",2, Lisboa
16,"Apartamento na Ericeira, a 15min a pé do centro e da praia, mobilado e",1650,131,"Ericeira, Mafra",15, Lisboa
17,Apartamento T4 para arrendamento,850,206,"Nossa Senhora de Fátima, Entroncamento",4, Santarém
18,"Apartamento T1 com terraço no Principe Real, Lisboa",1350,55,Santo António,1, Lisboa
19,Apartamento T2 em Odivelas nas Colinas do Cruzeiro,1450,100,Odivelas,2, Lisboa
20,Apartamento T2 para arrendar na Mouraria - junto à graça,1200,70,Arroios,2, Lisboa
21,Apartamento T2 Duplex todo mobilado e equipado em Castelo...,850,63,"Castelo (Sesimbra), Sesimbra",2, Setúbal
22,Apartamento T2 para arrendamento,1500,63,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Oeiras",2, Lisboa
23,Apartamento T1 na Boavista junto à Casa Da Musica,1200,60,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",1, Porto
24,ARRENDA-SE APARTAMENTO T3 MOBILADO + LUXO + CONDOMINIO FE...,2200,121,"Gulpilhares e Valadares, Vila Nova de Gaia",3, Porto
25,T1 DUPLEX mobilado para arrendamento com 1 lugar de garagem e arrumos,1750,88,"Santa Marinha e São Pedro da Afurada, Vila Nova de Gaia",1, Porto
26,Apartamento T2 para arrendamento,850,74,"Cascais e Estoril, Cascais",2, Lisboa
27,T5 Duplex para Arrendamento no Pinheiro Manso,2990,225,Ramalde,5, Porto
28,Apartamento T3 na Rua Saragoça em Coimbra,1600,140,"Coimbra (Sé Nova, Santa Cruz, Almedina e São Bartolomeu)",3, Coimbra
29,"Apartamento T3 - Pinheiro Manso, Ramalde, Porto",1350,147,Ramalde,3, Porto
30,Apartamento T2 na Praia da Vagueira,750,99,"Gafanha da Boa Hora, Vagos",2, Aveiro
31,T5 Alapraia / Estoril,1900,133,"Cascais e Estoril, Cascais",5, Lisboa
32,Apartamento T1 com móveis para arrendamento em Santa Maria Maior,1700,51.9,Santa Maria Maior,1, Lisboa
33,"T1 ao Pq. Itália, Casa da música",750,65,Lordelo do Ouro e Massarelos,1, Porto
34,Arrenda-se T1+1 Centro Histórico de Cascais,1900,69,"Cascais e Estoril, Cascais",1, Lisboa
35,T2 Praia Lavadores Canidelo,1000,100,"Canidelo, Vila Nova de Gaia",2, Porto
36,Apartamento T2 para arrendamento,2500,120,Parque das Nações,2, Lisboa
37,Apartamento T3 - Centro de Cascais,1800,88,"Cascais e Estoril, Cascais",3, Lisboa
38,T2 | Sinçães Terrace | Construção Nova | Maiagest,1250,90,"Vila Nova de Famalicão e Calendário, Vila Nova de Famalicão",2, Braga
39,Apartamento T2 com novo em condomínio no Estoril,3250,125.31,"Cascais e Estoril, Cascais",2, Lisboa
40,"Apartamento T1 Av. de Roma, Lisboa-habitação ou serviço",1350,69,Alvalade,1, Lisboa
41,Apartamento T2 | Guifões | Zona Verde | Duas Frentes,790,90,"Custóias, Leça do Balio e Guifões, Matosinhos",2, Porto
42,APARTAMENTO T2 NO MONTIJO,900,95,"Montijo e Afonsoeiro, Montijo",2, Setúbal
43,"T3 Totalmente REMODELADO, EQUIPADO E MOBILADO em Belém",1750,76,Belém,3, Lisboa
44,"Apartamento T2, mobilado e cozinha equipada, transportes públicos, no",1200,57,Beato,2, Lisboa
45,"Apartamento T1 duplex, Bessa Leite",265000,107,Ramalde,1, Porto
46,T3 com terraço e garagem nas Laranjeiras,1950,105,São Domingos de Benfica,3, Lisboa
47,Apartamento T1 para arrendamento,1450,46,São Vicente,1, Lisboa
48,Apartamento T2 | Mobilado e Equipado | lugar garagem,1200,104,"Fânzeres e São Pedro da Cova, Gondomar",2, Porto
49,Arrenda-se 4 assoalhadas com Piscina e Parqueamento,1100,107,"Amora, Seixal",4, Setúbal
50,T2 Arrenda Almada centro,850,60,"Almada, Cova da Piedade, Pragal e Cacilhas, Almada",2, Setúbal
51,Apartamento T1 a 10 min. a pé do Chiado,1500,68,Misericórdia,1, Lisboa
52,"T3 Av. Sintra, em frente ao Amor de Deus",1490,95,"Cascais e Estoril, Cascais",3, Lisboa
53,T1 c/ Parqueamento - Hosp Santa Maria / Univ Católica / Torres Lisboa,950,63,São Domingos de Benfica,1, Lisboa
54,Apartamento T4 para arrendamento,2500,123,Estrela,4, Lisboa
55,T3 no Pai do Vento / Cascais,1500,90,"Alcabideche, Cascais",3, Lisboa
56,"Apartamento T3 nos Pinhais da Foz, Foz do Douro",2200,150,"Aldoar, Foz do Douro e Nevogilde",3, Porto
57,Apartamento T3 | Twin Towers,2250,120,Campolide,3, Lisboa
58,T3 Condominio de Luxo em frente ao mar,3500,167,"Canidelo, Vila Nova de Gaia",3, Porto
59,Apartamento T0 para arrendamento,950,30.5,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Oeiras",0, Lisboa
60,Apartamento T2 Triplex na Foz Velha,2000,120,"Aldoar, Foz do Douro e Nevogilde",2, Porto
