,title,price,metros2,location,rooms,region
0,T2 no Arrabida,1750.0,112.0,"Santa Marinha e Sao Pedro da Afurada, Vila Nova de Gaia",2, Porto
1,partamento T3 sem moveis em penthouse com elevador privad...,6250.0,238.46,"Cascais e Estoril, Cascais",3, Lisboa
2,"Apartamento T3, 4 assoalhadas com areas generosas setubal",950.0,94.0,"Setubal (Sao Juliao, Nossa Senhora da Anunciada e Santa Maria da Graca)",3, Setubal
3,T2  PARQUE DOS POETAS,1900.0,82.0,"Oeiras e Sao Juliao da Barra, Paco de Arcos e Caxias, Oeiras",2, Lisboa
4,Apartamento T3 proximo ao Marques para arrendamento,1800.0,91.0,Bonfim,3, Porto
5,"Apartamento T1+T0, novo, para arrendamento, em Sao Vicente, Braga",1300.0,85.0,Sao Vicente,2, Braga
6,T2 para arrendamento - Pedroucos,980.0,113.0,"Pedroucos, Maia",2, Porto
7,T2 Alvalade,1600.0,64.0,Alvalade,2, Lisboa
8,"Apartamento T0 com Mezanino, novo, para arrendamento, em Sao Vicente",800.0,39.0,Sao Vicente,0, Braga
9,Apartamento T1 entre a Praca da Alegria e o Principe Real,1500.0,35.0,Santo Antonio,1, Lisboa
10,"Apartamento T1 Kitchnet para arrendamento, em Campanha",1450.0,40.0,Campanha,1, Porto
11,Apartamento T2 Centro da Maia,850.0,99.0,"Cidade da Maia, Maia",2, Porto
12,TO RENT * T3+3 + VARANDA VISTA RIO | LISBOA | SANTOS,4000.0,220.0,Estrela,3, Lisboa
13,Encantador T0 com garagem e arrecadacao para arrendar em Telheiras,900.0,35.0,Carnide,0, Lisboa
14,"Apartamento T4 no Pinheiro Manso, em Ramalde",2500.0,164.0,Ramalde,4, Porto
15,Apartamento T2 no Vale das Flores,900.0,83.0,Santo Antonio dos Olivais,2, Coimbra
16,"Apartamento T1 mobilado e equipado na Graca, Lisboa | ARRENDAMENTO",1400.0,30.0,Sao Vicente,1, Lisboa
17,"Apartamento para arrendamento, mobilado, NOVO, Vista Mar",750.0,38.64,Sines,1, Setubal
18,T2 em predio totalmente renovado em Campo de Ourique.,1450.0,56.0,Campo de Ourique,2, Lisboa
19,"Apartamento T1+1, novo, com garagem no Marques de Pombal",3700.0,111.0,Santo Antonio,1, Lisboa
20,"Apartamento T1 Arrendamento em Mafamude e Vilar do Paraiso,Vila Nova d",690.0,66.0,"Mafamude e Vilar do Paraiso, Vila Nova de Gaia",1, Porto
21,Apartamento T2 para arrendamento,1000.0,91.7,"Custoias, Leca do Balio e Guifoes, Matosinhos",2, Porto
22,Apartamento T2 para Arrendar em Benfica,1200.0,61.0,Benfica,2, Lisboa
23,Furnished Apartment in Chiado w/ Parking,3900.0,130.0,Misericordia,3, Lisboa
24,Otimo apartamento perto do Estadio do Dragao,1700.0,58.0,Campanha,1, Porto
25,Apartamento T3 para arrendamento,2500.0,96.8,Sao Domingos de Benfica,3, Lisboa
26,Excelente T1 na Praca do Marques de Pombal,1500.0,53.0,"Cedofeita, Santo Ildefonso, Se, Miragaia, Sao Nicolau e Vitoria",1, Porto
27,"Apartamento T2 para arrendamento em Celas, Coimbra",900.0,80.0,Santo Antonio dos Olivais,2, Coimbra
28,Apartamento T0 para arrendamento,700.0,31.5,Sao Vicente,0, Lisboa
29,Apartamento T1 / Cozinha Equipada / Centro de Leiria / Arrendamento,850.0,40.0,"Leiria, Pousos, Barreira e Cortes",1, Leiria
30,Apartamento T1 | Telheiras Centro,1100.0,68.0,Lumiar,1, Lisboa
31,"Apartamento T2 com varanda, na Boavista",1600.0,123.0,Ramalde,2, Porto
32,Apartamento T2 | Penha de Franca,1430.0,67.0,Penha de Franca,2, Lisboa
33,Apartamento T1 para arrendamento,1000.0,81.0,"Madalena, Vila Nova de Gaia",1, Porto
34,"Apartamento T3 com terraco, centro cidade Espinho",1200.0,128.0,Espinho,3, Aveiro
35,Apartamento T2 no Jardim da Parada em Campo de Ourique - Para Arrendar,1500.0,68.0,Campo de Ourique,2, Lisboa
36,T1 Penha de Franca Mobilado,900.0,48.0,Penha de Franca,1, Lisboa
37,T2 na Gafanha da Nazare,750.0,85.0,"Gafanha da Nazare, Ilhavo",2, Aveiro
38,Estudio mobilado e equipado em Paco de Arcos a 200m da praia,700.0,25.0,"Oeiras e Sao Juliao da Barra, Paco de Arcos e Caxias, Oeiras",0, Lisboa
39,T2 Mobilado e Equipado - Ao IC29 Gondomar Este,1250.0,83.3,"Gondomar (Sao Cosme), Valbom e Jovim, Gondomar",2, Porto
40,Apartamento T4 / Condominio Fechado / Gardens / Leiria / Arrendamento,1600.0,174.0,"Leiria, Pousos, Barreira e Cortes",4, Leiria
41,T1 NOVO no Cerrado da Praia - Alcochete,1350.0,60.05,Alcochete,1, Setubal
42,"Apartamento T2 sem moveis, em condominio fechado com pisc...",3000.0,113.0,"Cascais e Estoril, Cascais",2, Lisboa
43,Apartamento T2 para arrendamento,1650.0,65.5,Campo de Ourique,2, Lisboa
44,Apartamento T2 Centro de Almada,950.0,91.72,"Almada, Cova da Piedade, Pragal e Cacilhas, Almada",2, Setubal
45,Apartamento T1 para arrendamento,980.0,50.0,"Almada, Cova da Piedade, Pragal e Cacilhas, Almada",1, Setubal
46,Apartamento T3 para arrendamento,2200.0,117.0,Alvalade,3, Lisboa
47,Apartamento T0 / Parqueamento / Centro de Leiria / Arrendamento,650.0,46.0,"Leiria, Pousos, Barreira e Cortes",0, Leiria
48,"Apartamento T2 novo, em condominio fechado, em Faro",1350.0,112.0,Faro (Se e Sao Pedro),2, Faro
49,Otimo T1 na Foz,1500.0,57.0,"Aldoar, Foz do Douro e Nevogilde",1, Porto
50,Arrendamento de Apartamento T2 em Creixomil de frente ao Guimaraes Sho,1000.0,103.0,"Creixomil, Guimaraes",2, Braga
51,Apartamento T1 no Bolhao c/ Varanda,1500.0,45.0,"Cedofeita, Santo Ildefonso, Se, Miragaia, Sao Nicolau e Vitoria",0, Porto
52,Apartamento T4 + 1 no Saldanha para arrendar,2300.0,156.0,Avenidas Novas,4, Lisboa
53,Apartamento T2 Mobilado perto do Hospital Beatriz Angelo,1500.0,80.0,Loures,2, Lisboa
55,TO RENT * T4 + 3 | LISBOA | ESTRELA,3100.0,160.0,Estrela,4, Lisboa
57,Perfeito T2 perto do Bolhao,1500.0,110.0,"Cedofeita, Santo Ildefonso, Se, Miragaia, Sao Nicolau e Vitoria",2, Porto
58,"Apartamento T3 em Lisboa de 100,00 m2",1800.0,100.0,Campo de Ourique,3, Lisboa
59,Apartamento T2 de 94 m2 com varanda no centro Campo de Ourique,1800.0,86.0,Campo de Ourique,2, Lisboa
60,"Apartamento T3 em Sao Felix da Marinha, Vila Nova de Gaia",1980.0,134.0,"Sao Felix da Marinha, Vila Nova de Gaia",3, Porto
61,T3 para arrendar Mobilado em Miraflores,1350.0,100.0,"Alges, Linda-a-Velha e Cruz Quebrada-Dafundo, Oeiras",3, Lisboa
62,Liiiving T2,2300.0,64.0,Bonfim,2, Porto
63,Apartamento T2 para arrendamento,1800.0,86.0,"Cedofeita, Santo Ildefonso, Se, Miragaia, Sao Nicolau e Vitoria",2, Porto
64,Apartamento T2| Remodelado | Equipado | Alvalade EUA,1600.0,70.0,Alvalade,2, Lisboa
65,Apartamento T2 para arrendamento,800.0,96.0,"Montijo e Afonsoeiro, Montijo",2, Setubal
66,"Apartamento T1 Arrendamento em Gafanha da Nazare,Ilhavo",650.0,60.27,"Gafanha da Nazare, Ilhavo",1, Aveiro
67,"Apartamento T1 c/ terraco e lugar de garagem - Paranhos, Porto.",1200.0,56.0,Paranhos,1, Porto
68,Apartamento T2 Novo com Varanda - Leca do Balio Matosinhos,1100.0,89.0,"Custoias, Leca do Balio e Guifoes, Matosinhos",2, Porto
69,Apartamento T2 Novo com Varanda - Leca do Balio Matosinhos,1200.0,109.1,"Custoias, Leca do Balio e Guifoes, Matosinhos",2, Porto
71,Apartamento T3 para arrendamento,3800.0,180.33,"Cascais e Estoril, Cascais",3, Lisboa
72,Apartamento T3 Novo com Varanda - Leca do Balio Matosinhos,1500.0,119.0,"Custoias, Leca do Balio e Guifoes, Matosinhos",3, Porto
75,Apartamento T2 no Centro da Parede,950.0,85.0,"Carcavelos e Parede, Cascais",2, Lisboa
76,T2 novo a 15 minutos Lisboa,1400.0,114.0,"Montijo e Afonsoeiro, Montijo",2, Setubal
77,Apartamento T3 no Montijo,2500.0,196.44,"Montijo e Afonsoeiro, Montijo",3, Setubal
79,T2 Quinta dos Barros com parqueamento,1400.0,99.25,Sao Domingos de Benfica,2, Lisboa
80,Apartamento T2 em Paranhos,1400.0,98.0,Paranhos,2, Porto
81,Arrenda-se apartamento T3 todo remodelado em Paranhos,1700.0,120.0,Paranhos,3, Porto
82,Apartamento T2 em Moreira para ARRENDAMENTO,880.0,77.0,"Moreira, Maia",2, Porto
83,Apartamento T3 para arrendamento,3500.0,172.0,"Matosinhos e Leca da Palmeira, Matosinhos",3, Porto
84,Apartamento T3 remodelado em Campo de Ourique para arrendamento,2800.0,135.0,Campo de Ourique,3, Lisboa
85,"Apartamento T1+1 com vista deslumbrante, em Troia, Carvalhal. Em Arren",1200.0,64.0,"Carvalhal, Grandola",1, Setubal
86,Apartamento T3 com vista Mar no Centro de Cascais junto ao Novo Auchan,2000.0,110.0,"Cascais e Estoril, Cascais",3, Lisboa
